rank_overall,taxon_id,us_obs_count,iconic_taxon,common_name,scientific_name
97,3906,21718,Aves,Long-billed Curlew,Numenius americanus
98,81495,21713,Insecta,Twelve-spotted Skimmer,Libellula pulchella
99,67598,21262,Insecta,Red Imported Fire Ant,Solenopsis invicta
100,83090,21156,Insecta,Tulip-tree Beauty,Epimecis hortaria
101,9319,21133,Aves,Hooded Oriole,Icterus cucullatus
102,51097,21126,Insecta,Anise Swallowtail,Papilio zelicaon
103,49761,21006,Insecta,White Peacock,Anartia jatrophae
104,60349,20939,Reptilia,Little Brown Skink,Scincella lateralis
105,972793,20873,Fungi,Pear-shaped Puffball,Apioperdon pyriforme
106,72486,20709,Aves,Egyptian Goose,Alopochen aegyptiaca
107,6433,20636,Aves,Black-chinned Hummingbird,Archilochus alexandri
108,47817,20547,Insecta,Flame Skimmer,Libellula saturata
109,38671,20527,Reptilia,Western Whiptail,Aspidoscelis tigris
110,47392,20457,Fungi,Shaggy Mane,Coprinus comatus
111,47382,20406,Arachnida,Western Black Widow,Latrodectus hesperus
112,29200,20380,Reptilia,Rough Greensnake,Opheodrys aestivus
113,16100,20363,Aves,Eastern Wood-Pewee,Contopus virens
114,5196,20251,Aves,Swainson's Hawk,Buteo swainsoni
115,6359,20248,Aves,Allen's Hummingbird,Selasphorus sasin
116,127669,20102,Insecta,Red-shouldered Bug,Jadera haematoloma
117,94571,20060,Insecta,Blue-ringed Dancer,Argia sedula
118,130222,20054,Insecta,Black-tailed Bumble Bee,Bombus melanopygus
119,61256,19928,Insecta,Eastern Leaf-footed Bug,Leptoglossus phyllopus
120,494603,19892,Mollusca,Opalescent Nudibranch,Hermissenda opalescens
121,196842,19866,Fungi,crowded parchment,Stereum complicatum
122,42429,19850,Mammalia,Pronghorn,Antilocapra americana
123,792987,19700,Aves,Nuttall's Woodpecker,Dryobates nuttallii
124,58530,19655,Insecta,Little Yellow,Eurema lisa
125,7056,19511,Aves,Redhead,Aythya americana
126,5416,19341,Aves,Mississippi Kite,Ictinia mississippiensis
127,59152,19292,Insecta,Marine Blue,Leptotes marina
128,43130,19024,Mammalia,Black-tailed Jackrabbit,Lepus californicus
129,1038408,18905,Insecta,Common Checkered-Skipper,Burnsius communis
130,1289601,18805,Aves,Neotropic Cormorant,Nannopterum brasilianum
131,180010,18692,Mammalia,Common Golden-mantled Ground Squirrel,Callospermophilus lateralis
132,64989,18585,Amphibia,Woodhouse's Toad,Anaxyrus woodhousii
133,42408,18523,Mammalia,American Bison,Bison bison
134,118968,18450,Insecta,Oblique Streaktail,Allograpta obliqua
135,82379,18397,Insecta,Hummingbird Clearwing,Hemaris thysbe
136,4235,18386,Aves,Western Grebe,Aechmophorus occidentalis
137,69940,18310,Insecta,Ceraunus Blue,Hemiargus ceraunus
138,51761,18236,Insecta,American Rubyspot,Hetaerina americana
139,334704,18213,Fungi,crown-tipped coral fungus,Artomyces pyxidatus
140,366894,18029,Arachnida,Noble False Widow,Steatoda nobilis
141,1289607,17997,Aves,Brandt's Cormorant,Urile penicillatus
142,120183,17992,Arachnida,Marbled Orbweaver,Araneus marmoreus
143,144496,17927,Aves,Wilson's Snipe,Gallinago delicata
144,50892,17841,Insecta,Variable Checkerspot,Euphydryas chalcedona
145,16779,17693,Aves,Cassin's Kingbird,Tyrannus vociferans
146,311233,17672,Arachnida,Twin-flagged Jumping Spider,Anasaitis canosus
147,4205,17558,Aves,Eared Grebe,Podiceps nigricollis
148,145255,17555,Aves,Townsend's Warbler,Setophaga townsendi
149,119956,17546,Plantae,wax myrtle,Morella cerifera
150,515419,17233,Reptilia,Eastern Milksnake,Lampropeltis triangulum
151,144820,17204,Aves,Chestnut-backed Chickadee,Poecile rufescens
152,4496,17128,Aves,Black Skimmer,Rynchops niger
153,792986,17095,Aves,Ladder-backed Woodpecker,Dryobates scalaris
154,7,17092,Aves,Limpkin,Aramus guarauna
155,56240,17075,Insecta,Vivid Dancer,Argia vivida
156,1406,17020,Aves,Gambel's Quail,Callipepla gambelii
157,56756,16996,Insecta,Harlequin Bug,Murgantia histrionica
158,68240,16878,Insecta,Bordered Patch,Chlosyne lacinia
159,46086,16763,Mammalia,Yellow-bellied Marmot,Marmota flaviventris
160,60812,16719,Insecta,Reddish-brown Stag Beetle,Lucanus capreolus
161,62978,16714,Insecta,Silvery Checkerspot,Chlosyne nycteis
162,117002,16700,Aves,Phainopepla,Phainopepla nitens
163,180008,16658,Mammalia,Rock Squirrel,Otospermophilus variegatus
164,69736,16649,Insecta,American Bird Grasshopper,Schistocerca americana
165,73669,16634,Reptilia,Common Spotted Whiptail,Aspidoscelis gularis
