rank_overall,taxon_id,us_obs_count,iconic_taxon,common_name,scientific_name
784,159836,8275,Plantae,narrow-leaved bittercress,Cardamine impatiens
785,890,8270,Aves,Ruffed Grouse,Bonasa umbellus
786,489286,8268,Plantae,desert lavender,Condea emoryi
787,77132,8260,Plantae,Apache plume,Fallugia paradoxa
788,63977,8254,Plantae,Birchleaf Mountain Mahogany,Cercocarpus betuloides
789,133294,8251,Plantae,shaggy portulaca,Portulaca pilosa
790,122228,8247,Insecta,Saddleback Caterpillar Moth,Acharia stimulea
791,228593,8237,Insecta,Hebrew Moth,Polygrammate hebraeicum
792,77248,8231,Plantae,Desert Sunflower,Geraea canescens
793,61607,8214,Insecta,Northeastern Hammertail,Efferia aestuans
794,52588,8204,Plantae,Yellow Star-Thistle,Centaurea solstitialis
795,51536,8203,Insecta,Great Southern White,Ascia monuste
796,120596,8200,Arachnida,Texas Brown Tarantula,Aphonopelma hentzi
797,48952,8190,Plantae,squirrel corn,Dicentra canadensis
798,125743,8187,Fungi,Ravenel's stinkhorn,Phallus ravenelii
799,55773,8186,Insecta,Maroon-legged Lion Fly,Promachus hinei
800,54654,8177,Plantae,white fringetree,Chionanthus virginicus
801,12901,8174,Aves,Veery,Catharus fuscescens
802,143662,8174,Insecta,Brown Prionid,Orthosoma brunneum
803,49596,8172,Actinopterygii,Brook Trout,Salvelinus fontinalis
804,118967,8171,Insecta,Twenty-spotted Lady Beetle,Psyllobora vigintimaculata
805,319815,8152,,Star Jelly,Nostoc commune
806,81801,8151,Plantae,Rusty Blackhaw,Viburnum rufidulum
807,4896,8149,Aves,Pacific Golden-Plover,Pluvialis fulva
808,58478,8148,Insecta,Wild Indigo Duskywing,Erynnis baptisiae
809,170271,8148,Plantae,Lilac chaste tree,Vitex agnus-castus
810,76290,8146,Plantae,desert willow,Chilopsis linearis
811,120499,8132,Chromista,Bull Kelp,Nereocystis luetkeana
812,53284,8129,Fungi,Questionable Stropharia,Stropharia ambigua
813,48262,8128,Insecta,Spotted Apatelodes Moth,Apatelodes torrefacta
814,52618,8128,Plantae,Yellow Sand Verbena,Abronia latifolia
815,69813,8119,Plantae,lanceleaf arrowhead,Sagittaria lancifolia
816,7111,8110,Aves,Harlequin Duck,Histrionicus histrionicus
817,57250,8102,Plantae,hollyleaf cherry,Prunus ilicifolia
818,130898,8076,Plantae,citronella horse balm,Collinsonia canadensis
819,125482,8063,Plantae,Canada clearweed,Pilea pumila
820,81656,8060,Insecta,Horned Spanworm Moth,Nematocampa resistaria
821,84188,8057,Insecta,False Potato Beetle,Leptinotarsa juncta
822,127609,8052,Plantae,jetbead,Rhodotypos scandens
823,128698,8048,Plantae,Brazilian Vervain,Verbena brasiliensis
824,99647,8044,Insecta,Swift Setwing,Dythemis velox
825,53212,8043,Plantae,Small-flowered Catchfly,Silene gallica
826,132468,8038,Insecta,Fall Armyworm Moth,Spodoptera frugiperda
827,27390,8029,Amphibia,Allegheny Mountain Dusky Salamander,Desmognathus ochrophaeus
828,49594,8024,Actinopterygii,Black Crappie,Pomoxis nigromaculatus
829,117444,8019,Plantae,southern blue flag,Iris virginica
830,130554,8015,Plantae,wild hydrangea,Hydrangea arborescens
831,75537,8009,Plantae,greenleaf manzanita,Arctostaphylos patula
832,54770,8004,Plantae,American hazelnut,Corylus americana
833,50840,7983,Plantae,Tolmie's pussy ears,Calochortus tolmiei
834,126568,7978,Insecta,Rustic Sphinx,Manduca rustica
835,78623,7970,Plantae,white bog orchid,Platanthera dilatata
836,145289,7967,Aves,Canyon Towhee,Melozone fusca
837,142655,7966,Plantae,cobaea beardtongue,Penstemon cobaea
838,10139,7964,Aves,Grasshopper Sparrow,Ammodramus savannarum
839,47325,7957,Plantae,Purple Chinese Houses,Collinsia heterophylla
840,793756,7935,Plantae,western harebell,Campanula petiolata
841,203352,7934,Insecta,End Band Net-winged Beetle,Calopteron terminale
842,1650411,7932,Aves,Evening Grosbeak,Hesperiphona vespertina
843,68229,7931,Insecta,Carolina Saddlebags,Tramea carolina
844,128095,7923,Plantae,bladder sedge,Carex intumescens
845,149017,7923,Insecta,Blackberry Looper Moth,Chlorochlamys chloroleucaria
846,133790,7922,Insecta,Common Blue Mud-dauber Wasp,Chalybion californicum
847,100215,7909,Insecta,Prince Baskettail,Epitheca princeps
848,131862,7905,Insecta,Banded Longhorn Beetle,Typocerus velutinus
849,58416,7899,Arachnida,Brilliant Jumping Spider,Phidippus clarus
850,168843,7893,Plantae,Lindheimer's Senna,Senna lindheimeriana
851,123118,7890,Plantae,cenizo,Leucophyllum frutescens
852,78387,7886,Plantae,Green Arrow Arum,Peltandra virginica
853,57312,7885,Plantae,slender vetch,Vicia ludoviciana
854,82425,7883,Insecta,Bronzed Tiger Beetle,Cicindela repanda
855,104574,7879,Insecta,Neon Skimmer,Libellula croceipennis
856,50824,7877,Plantae,Fuchsiaflower Gooseberry,Ribes speciosum
857,126376,7876,Plantae,Asian mazus,Mazus pumilus
858,57137,7875,Plantae,southern coastal bushmallow,Malacothamnus fasciculatus
859,58539,7873,Insecta,Banded Hairstreak,Satyrium calanus
860,129041,7866,Insecta,Summer Fishfly,Chauliodes pectinicornis
861,4627,7860,Aves,Red-throated Loon,Gavia stellata
862,126890,7857,Plantae,Trailing Rhatany,Krameria lanceolata
863,68303,7853,Plantae,wild canterbury bells,Phacelia minor
864,123634,7841,Plantae,Little Sweet Betsy,Trillium cuneatum
865,84666,7837,Plantae,Rosepink,Sabatia angularis
866,48595,7831,Plantae,hoary puccoon,Lithospermum canescens
867,55263,7831,Insecta,Hunter's Little Paper Wasp,Polistes dorsalis
868,58144,7829,Plantae,smallseed sandmat,Euphorbia polycarpa
869,119813,7827,Plantae,black cohosh,Actaea racemosa
870,130380,7825,Plantae,rough blazing star,Liatris aspera
871,55553,7819,Fungi,Golden-eye Lichen,Teloschistes chrysophthalmus
872,319974,7814,Plantae,scarlet monkeyflower,Erythranthe cardinalis
873,146354,7809,Reptilia,Blainville's Horned Lizard,Phrynosoma blainvillii
874,143338,7801,Insecta,Virginia Giant Hover Fly,Milesia virginiensis
875,224756,7792,Insecta,Pine tree Spur-throat Grasshopper,Melanoplus punctulatus
876,39858,7790,Reptilia,Northern Map Turtle,Graptemys geographica
877,126905,7789,Insecta,Grapeleaf Skeletonizer Moth,Harrisina americana
878,132685,7763,Plantae,whitetop sedge,Rhynchospora colorata
879,55367,7756,Plantae,beach strawberry,Fragaria chiloensis
880,143118,7755,Insecta,Pink-barred Pseudeustrotia Moth,Pseudeustrotia carneola
881,77776,7749,Plantae,Balkan toadflax,Linaria dalmatica
882,82832,7748,Insecta,Twice-stabbed Stink Bug,Cosmopepla lintneriana
883,132219,7747,Plantae,summer bluet,Houstonia purpurea
884,63916,7745,Plantae,black maidenhair fern,Adiantum capillus-veneris
885,194690,7740,Insecta,Red Harvester Ant,Pogonomyrmex barbatus
886,28398,7728,Reptilia,Western Terrestrial Garter Snake,Thamnophis elegans
887,462132,7727,Fungi,American yellow morel,Morchella americana
888,50150,7725,Plantae,chuparosa,Justicia californica
889,22631,7723,Amphibia,Greenhouse Frog,Eleutherodactylus planirostris
890,121217,7720,Fungi,Chip Cherries,Leratiomyces ceres
891,469277,7698,Insecta,Superb Dog-day Cicada,Neotibicen superbus
892,50876,7697,Plantae,tidy tips,Layia platyglossa
893,81526,7697,Reptilia,Prairie Rattlesnake,Crotalus viridis
894,117309,7695,Plantae,harbinger of spring,Erigenia bulbosa
895,24255,7679,Amphibia,Boreal Chorus Frog,Pseudacris maculata
896,146750,7674,Insecta,Ambiguous Moth,Lascoria ambigualis
897,116364,7673,Plantae,nodding onion,Allium cernuum
898,161945,7670,Plantae,southern bush monkeyflower,Diplacus longiflorus
899,58819,7661,Plantae,Clustered Tarweed,Deinandra fasciculata
900,118855,7659,Insecta,Fiery Searcher,Calosoma scrutator
901,49614,7655,Actinopterygii,Pumpkinseed,Lepomis gibbosus
902,63886,7653,Plantae,pale smartweed,Persicaria lapathifolia
903,131588,7640,Plantae,Rust Weed,Polypremum procumbens
904,138980,7629,Plantae,Scarlet Pea,Indigofera miniata
905,165994,7627,Plantae,mountain woodsorrel,Oxalis montana
906,76765,7616,Plantae,False Daisy,Eclipta prostrata
907,119609,7613,Plantae,leafy elephant's-foot,Elephantopus carolinianus
908,10411,7612,Aves,Red Crossbill,Loxia curvirostra
909,124420,7610,Insecta,California Bumble Bee,Bombus californicus
910,126799,7610,Plantae,cream violet,Viola striata
911,50713,7609,Plantae,yellow lady's slipper,Cypripedium parviflorum
912,48990,7601,Plantae,California fetid adderstongue,Scoliopus bigelovii
913,50181,7600,Arachnida,Brown Recluse,Loxosceles reclusa
914,64043,7592,Plantae,Snowbrush Ceanothus,Ceanothus velutinus
915,133268,7591,Insecta,Hump-backed Beewolf,Philanthus gibbosus
916,326137,7582,Insecta,Hackberry Petiole Gall Psyllid,Pachypsylla venusta
917,125721,7581,Plantae,stiff-leaved goldenrod,Solidago rigida
918,8520,7579,Aves,Clark's Nutcracker,Nucifraga columbiana
919,133054,7570,Arachnida,Dimorphic Jumping Spider,Maevia inclemens
920,62671,7567,Plantae,kudzu,Pueraria montana
921,129094,7562,Insecta,Red-legged Grasshopper,Melanoplus femurrubrum
922,126891,7560,Plantae,narrowleaf mountainmint,Pycnanthemum tenuifolium
923,9182,7556,Aves,Harris's Sparrow,Zonotrichia querula
924,55342,7548,Plantae,Redwood Violet,Viola sempervirens
925,152979,7539,Insecta,Subterranean Dart,Feltia subterranea
926,200053,7534,Plantae,prostrate sandmat,Euphorbia prostrata
927,146713,7531,Insecta,Grateful Midget,Elaphria grata
928,225793,7530,Insecta,Two-spotted Tree Cricket,Neoxabea bipunctata
929,76301,7529,Plantae,crossflower,Chorispora tenella
930,58371,7510,Plantae,Bermuda grass,Cynodon dactylon
931,4234,7495,Aves,Clark's Grebe,Aechmophorus clarkii
932,94551,7495,Insecta,Kiowa Dancer,Argia immunda
933,60879,7483,Plantae,Beach Morning Glory,Ipomoea pes-caprae
934,360116,7473,Insecta,White-margined Burrowing Bug,Sehirus cinctus
935,52146,7463,Plantae,Mountain Pride,Penstemon newberryi
936,82302,7460,Plantae,swamp rose,Rosa palustris
937,198859,7457,Insecta,Lemon Cuckoo Bumble Bee,Bombus citrinus
938,99891,7454,Insecta,Azure Bluet,Enallagma aspersum
939,55489,7453,Insecta,Polished Lady Beetle,Cycloneda munda
940,167284,7451,Plantae,Texas Prairie Parsley,Polytaenia texana
941,84752,7447,Insecta,Greater Anglewing,Microcentrum rhombifolium
942,118473,7441,Plantae,Stringy Stonecrop,Sedum sarmentosum
943,450366,7438,Insecta,Two-lined Leatherwing,Atalantycha bilineata
944,117533,7431,Actinopterygii,Woolly Sculpin,Clinocottus analis
945,228855,7426,Insecta,Large Mossy Glyph,Protodeltote muscosula
946,49647,7423,Plantae,common starlily,Leucocrinum montanum
947,126293,7406,Insecta,Carpenterworm Moth,Prionoxystus robiniae
948,104575,7401,Insecta,Spangled Skimmer,Libellula cyanea
949,81709,7399,Insecta,Florida Carpenter Ant,Camponotus floridanus
950,789601,7399,Insecta,Belted Grass-veneer,Euchromius ocellea
951,49157,7398,Plantae,sweet birch,Betula lenta
952,127045,7397,Plantae,Helmet skullcap,Scutellaria integrifolia
953,121691,7393,Plantae,evergreen sumac,Rhus virens
954,130947,7393,Fungi,ceramic parchment,Xylobolus frustulatus
955,119827,7392,Plantae,American spikenard,Aralia racemosa
956,50806,7389,Plantae,silverpuffs,Uropappus lindleyi
957,209233,7387,Mammalia,Domestic Horse,Equus caballus
958,120403,7374,Plantae,purpletop tridens,Tridens flavus
959,197740,7372,Insecta,Springwater Dancer,Argia funebris
960,130124,7370,Plantae,Western Ironweed,Vernonia baldwinii
961,78220,7367,Plantae,desert tobacco,Nicotiana obtusifolia
962,52858,7366,Plantae,Western Wild Ginger,Asarum caudatum
963,78256,7361,Plantae,desert ironwood,Olneya tesota
964,153076,7351,Insecta,Bronzed Cutworm Moth,Nephelodes minians
965,226901,7350,Insecta,Red-lined Panopoda Moth,Panopoda rufimargo
966,904173,7350,Reptilia,Florida Cottonmouth,Agkistrodon conanti
967,73148,7349,Aves,Louisiana Waterthrush,Parkesia motacilla
968,32064,7337,Reptilia,Northern Alligator Lizard,Elgaria coerulea
969,61240,7335,Insecta,Agreeable Tiger Moth,Spilosoma congrua
970,166758,7330,Plantae,Chamberbitter,Phyllanthus urinaria
971,125773,7313,Fungi,Smokey-eyed Boulder Lichen,Porpidia albocaerulescens
972,75976,7312,Plantae,beach suncup,Camissoniopsis cheiranthifolia
973,127910,7308,Plantae,Earleaf Greenbrier,Smilax auriculata
974,740122,7300,Insecta,Resh Cicada,Megatibicen resh
975,170095,7298,Plantae,perfoliate bellwort,Uvularia perfoliata
976,143484,7293,Insecta,Hollow-spotted Blepharomastix Moth,Blepharomastix ranalis
977,78664,7287,Plantae,redwhisker clammyweed,Polanisia dodecandra
978,39824,7286,Reptilia,Florida Red-bellied Cooter,Pseudemys nelsoni
979,83893,7282,Plantae,wild quinine,Parthenium integrifolium
980,48152,7279,Plantae,hound's-tongue,Cynoglossum officinale
981,122091,7278,Plantae,blunt woodsia,Woodsia obtusa
982,52685,7274,Plantae,giant chain fern,Woodwardia fimbriata
983,59189,7273,Insecta,Mournful Duskywing,Erynnis tristis
984,49132,7258,Plantae,broadleaf forget-me-not,Myosotis latifolia
985,67792,7257,Plantae,deerberry,Vaccinium stamineum
986,1609409,7257,Plantae,prairie false indigo,Baptisia lactea
987,553515,7251,Amphibia,Cane Toad,Rhinella marina
988,61369,7242,Plantae,Bitter Melon,Momordica charantia
989,50075,7239,Insecta,Atala,Eumaeus atala
990,25545,7237,Amphibia,Northern Red-legged Frog,Rana aurora
991,78090,7237,Plantae,green carpetweed,Mollugo verticillata
992,126153,7235,Insecta,Nessus Sphinx,Amphion floridensis
993,143470,7229,Arachnida,Koch's Wolf Spider,Alopecosa kochi
994,77057,7218,Plantae,Texas stork's bill,Erodium texanum
995,76139,7215,Plantae,Desert Paintbrush,Castilleja chromosa
996,51087,7208,Plantae,Winecup Clarkia,Clarkia purpurea
997,147370,7208,Arachnida,flea jumping spider,Naphrys pulex
998,425250,7203,Insecta,Yellow-shouldered Drone Fly,Eristalis stipator
999,134119,7199,Insecta,Southern Two-striped Walkingstick,Anisomorpha buprestoides
1000,126565,7189,Plantae,cucumberleaf sunflower,Helianthus debilis
1001,126204,7186,Insecta,Wavy-lined Emerald,Synchlora aerata
1002,1650171,7184,Insecta,Whirlabout,Hedone vibex
1003,63585,7183,Fungi,Late Oyster,Sarcomyxa serotina
1004,169171,7182,Plantae,shrubby false buttonweed,Spermacoce verticillata
1005,61513,7168,Insecta,Hemlock Woolly Adelgid,Adelges tsugae
1006,82515,7162,Plantae,shinleaf,Pyrola elliptica
1007,6994,7159,Aves,Barrow's Goldeneye,Bucephala islandica
1008,81595,7148,Plantae,three-toothed cinquefoil,Sibbaldiopsis tridentata
1009,125902,7142,Plantae,Purple Cress,Cardamine douglassii
1010,83456,7128,Plantae,swamp loosestrife,Decodon verticillatus
1011,225604,7127,Insecta,Broad-tipped Conehead,Neoconocephalus triops
1012,53038,7125,Plantae,spoonleaf sundew,Drosera intermedia
1013,1415100,7125,Plantae,Rocky Mountain Beeplant,Cleomella serrulata
1014,121180,7122,Mollusca,Wavy Turban,Megastraea undosa
1015,84792,7115,Insecta,Silver-spotted Tiger Moth,Lophocampa argentata
1016,58308,7114,Plantae,hollyleaf redberry,Rhamnus ilicifolia
1017,154553,7111,Insecta,Western Leaf-footed Bug,Leptoglossus clypealis
1018,59035,7110,Plantae,American black nightshade,Solanum americanum
1019,61824,7104,Plantae,Alsike clover,Trifolium hybridum
1020,83152,7103,Plantae,Virginia sweetspire,Itea virginica
1021,67793,7094,Plantae,Atlantic camas,Camassia scilloides
1022,119146,7093,Plantae,woodland pinkroot,Spigelia marilandica
1023,154551,7088,Insecta,,Leptoglossus zonatus
1024,58892,7087,Plantae,pointleaf manzanita,Arctostaphylos pungens
1025,147309,7082,Insecta,Master's Dart,Feltia herilis
1026,154333,7080,Insecta,Smoky Tetanolita Moth,Tetanolita mynesalis
1027,3959,7079,Aves,Red-necked Phalarope,Phalaropus lobatus
1028,1470429,7078,Insecta,Western Earwig,Forficula dentata
1029,81605,7077,Plantae,common yucca,Yucca filamentosa
1030,77264,7075,Plantae,sticky geranium,Geranium viscosissimum
1031,782231,7068,Fungi,Painted Suillus,Suillus spraguei
1032,363481,7065,Plantae,beach naupaka,Scaevola taccada
1033,51071,7064,Plantae,Hooker's fairybells,Prosartes hookeri
1034,53577,7062,Insecta,Tulip-tree Silkmoth,Callosamia angulifera
1035,64105,7060,Plantae,greenspot nightshade,Solanum douglasii
1036,75602,7059,Plantae,tropical milkweed,Asclepias curassavica
1037,9148,7045,Aves,Clay-colored Sparrow,Spizella pallida
1038,94513,7045,Insecta,Great Spreadwing,Archilestes grandis
1039,62924,7041,Plantae,Madagascar Periwinkle,Catharanthus roseus
1040,3545,7039,Aves,Common Ground Dove,Columbina passerina
1041,220398,7033,Insecta,Texas Gray,Glenoides texanaria
1042,120181,7032,Plantae,whorled wood aster,Oclemena acuminata
1043,68089,7031,Plantae,mountain hemlock,Tsuga mertensiana
1044,47360,7029,Plantae,Bitterroot,Lewisia rediviva
1045,84428,7028,Insecta,Arched Hooktip Moth,Drepana arcuata
1046,135883,7023,Plantae,Rocky Mountain Juniper,Juniperus scopulorum
1047,82558,7020,Plantae,walking fern,Asplenium rhizophyllum
1048,58029,7014,Plantae,desert dandelion,Malacothrix glabrata
1049,211012,7011,Insecta,Black-dotted Glyph,Maliattha synochitis
1050,221498,6999,Insecta,Witch-hazel Cone Gall Aphid,Hormaphis hamamelidis
1051,77967,6998,Plantae,Snapdragon Vine,Maurandella antirrhiniflora
1052,50642,6992,Plantae,Red larkspur,Delphinium nudicaule
1053,194786,6992,Insecta,Narcissus Bulb Fly,Merodon equestris
1054,113526,6986,Insecta,Band-winged Meadowhawk,Sympetrum semicinctum
1055,145254,6982,Aves,Black-throated Gray Warbler,Setophaga nigrescens
1056,334439,6974,Arachnida,Poison Ivy Leaf Mite,Aculops rhois
1057,39822,6971,Reptilia,Texas Cooter,Pseudemys texana
1058,28390,6970,Reptilia,Checkered Garter Snake,Thamnophis marcianus
1059,85490,6959,Plantae,American lopseed,Phryma leptostachya
1060,55264,6958,Insecta,Northern Plushback,Palpada vinetorum
1061,3869,6953,Aves,Short-billed Dowitcher,Limnodromus griseus
1062,143393,6952,Fungi,Red Chanterelle,Cantharellus cinnabarinus
1063,974663,6952,Fungi,Northern Cinnabar Polypore,Trametes cinnabarina
1064,163256,6950,Plantae,pinewoods geranium,Geranium caespitosum
1065,164984,6945,Plantae,Texas Skeleton Plant,Lygodesmia texana
1066,70222,6939,Fungi,Aborted entoloma,Entoloma abortivum
1067,6141,6930,Aves,Broad-billed Hummingbird,Cynanthus latirostris
1068,76567,6930,Plantae,Coast Cholla,Cylindropuntia prolifera
1069,57121,6929,Plantae,giant blue sage,Salvia azurea
1070,9958,6928,Aves,Rufous-crowned Sparrow,Aimophila ruficeps
1071,122081,6911,Plantae,broad beech fern,Phegopteris hexagonoptera
1072,50857,6907,Plantae,caterpillar scorpionweed,Phacelia cicutaria
1073,77411,6891,Plantae,flower-of-an-hour,Hibiscus trionum
1074,55437,6877,Plantae,Fiesta Flower,Pholistoma auritum
1075,127691,6875,Plantae,redring milkweed,Asclepias variegata
1076,135271,6871,Insecta,Spongy Oak Apple Gall Wasp,Amphibolips confluenta
1077,168852,6856,Plantae,Two-leaved Senna,Senna roemeriana
1078,123175,6850,Fungi,Oakmoss,Evernia prunastri
1079,58372,6846,Plantae,Saltgrass,Distichlis spicata
1080,54875,6845,Plantae,Vinegar Weed,Trichostema lanceolatum
1081,119988,6839,Insecta,Double-banded Scoliid Wasp,Scolia bicincta
1082,100034,6833,Insecta,Swamp Darner,Epiaeschna heros
1083,84369,6828,Insecta,Eight-spotted Skimmer,Libellula forensis
1084,58564,6820,Insecta,Meadow Fritillary,Boloria bellona
1085,118501,6817,Insecta,Orange Wing,Mellilla xanthometata
1086,153842,6817,Arachnida,White-jawed Jumping Spider,Hentzia mitrata
1087,56854,6816,Plantae,American trailplant,Adenocaulon bicolor
1088,118961,6815,Insecta,Short-winged Meadow Katydid,Conocephalus brevipennis
1089,5181,6812,Aves,Ferruginous Hawk,Buteo regalis
1090,53177,6812,Plantae,dot-seed plantain,Plantago erecta
1091,57858,6810,Plantae,blue water-speedwell,Veronica anagallis-aquatica
1092,82811,6810,Plantae,purple-stem cliffbrake,Pellaea atropurpurea
1093,126303,6810,Plantae,sea oats,Uniola paniculata
1094,62367,6803,Plantae,narrowleaf cow wheat,Melampyrum lineare
1095,24254,6800,Amphibia,California Tree Frog,Pseudacris cadaverina
1096,323780,6796,Insecta,Carpenter-mimic Leafcutter Bee,Megachile xylocopoides
1097,18976,6793,Aves,Red-crowned Amazon,Amazona viridigenalis
1098,42414,6791,Mammalia,Mountain Goat,Oreamnos americanus
1099,75867,6790,Plantae,Watershield,Brasenia schreberi
1100,50858,6789,Plantae,Blue Curls,Phacelia congesta
1101,144515,6787,Aves,Franklin's Gull,Leucophaeus pipixcan
1102,82324,6785,Plantae,Pigeonwings,Clitoria mariana
1103,554401,6785,Plantae,Brazos rain-lily,Zephyranthes chlorosolen
1104,143293,6779,Arachnida,Striped Fishing Spider,Dolomedes scriptus
1105,16110,6777,Aves,Olive-sided Flycatcher,Contopus cooperi
1106,9081,6766,Aves,Pyrrhuloxia,Cardinalis sinuatus
1107,48214,6766,Mollusca,Slender Banana Slug,Ariolimax dolichophallus
1108,126530,6762,Insecta,Common Oak Moth,Phoberia atomaris
1109,58202,6750,Plantae,cheeseweed mallow,Malva parviflora
1110,128078,6749,Plantae,Gray's sedge,Carex grayi
1111,60428,6746,Insecta,Ferruginous Tiger Crane Fly,Nephrotoma ferruginea
1112,75732,6745,Plantae,Herb-of-Grace,Bacopa monnieri
1113,132473,6745,Actinopterygii,Pinfish,Lagodon rhomboides
1114,69155,6743,Chromista,Rockweed,Fucus distichus
1115,129505,6739,Plantae,showy tick-trefoil,Desmodium canadense
1116,125386,6736,Plantae,poke milkweed,Asclepias exaltata
1117,200073,6735,Plantae,clasping coneflower,Rudbeckia amplexicaulis
1118,81674,6733,Insecta,Spotted Grass Moth,Rivula propinqualis
1119,62984,6732,Insecta,Asian Tiger Mosquito,Aedes albopictus
1120,164038,6731,Plantae,Chinese holly,Ilex cornuta
1121,16956,6730,Aves,Great Kiskadee,Pitangus sulphuratus
1122,204148,6729,Plantae,rock harlequin,Capnoides sempervirens
1123,81984,6724,Arachnida,Six-spotted Orbweaver,Araniella displicata
1124,132339,6724,Insecta,Texan Crescent,Anthanassa texana
1125,76333,6723,Plantae,Browneyes,Chylismia claviformis
1126,144220,6723,Aves,Black Scoter,Melanitta americana
1127,209807,6722,Arachnida,Western Lynx Spider,Oxyopes scalaris
1128,136548,6721,Insecta,Spiny Oak-slug Moth,Euclea delphinii
1129,218048,6713,Insecta,Asian Oak Weevil,Cyrtepistomus castaneus
1130,59567,6709,Plantae,giant sequoia,Sequoiadendron giganteum
1131,787944,6703,Fungi,oak bracket,Pseudoinonotus dryadeus
1132,131000,6698,Plantae,deertongue,Dichanthelium clandestinum
1133,52542,6688,Plantae,Leichtlin's Mariposa Lily,Calochortus leichtlinii
1134,128942,6687,Plantae,starry campion,Silene stellata
1135,60522,6684,Plantae,Columbian Monkshood,Aconitum columbianum
1136,243904,6683,Reptilia,Desert Horned Lizard,Phrynosoma platyrhinos
1137,79488,6664,Plantae,Bigbract Verbena,Verbena bracteata
1138,163767,6663,Plantae,Halberd-leaf Rosemallow,Hibiscus laevis
1139,50202,6662,Plantae,Spanish needles,Bidens bipinnata
1140,131568,6658,Plantae,sensitive pea,Chamaecrista nictitans
1141,15256,6657,Aves,Wrentit,Chamaea fasciata
1142,63078,6657,Plantae,Rocky Mountain maple,Acer glabrum
1143,160266,6657,Plantae,spiny hackberry,Celtis pallida
1144,44576,6656,Mammalia,Brown Rat,Rattus norvegicus
1145,83177,6656,Insecta,Keeled Treehopper,Entylia carinata
1146,27101,6655,Amphibia,Long-tailed Salamander,Eurycea longicauda
1147,116361,6649,Plantae,Mountain Maple,Acer spicatum
1148,5355,6646,Aves,Harris's Hawk,Parabuteo unicinctus
1149,129361,6636,Plantae,Halberd-leaved violet,Viola hastata
1150,132719,6634,Insecta,Reticulated Net-winged Beetle,Calopteron reticulatum
1151,78565,6629,Plantae,Thickleaf Groundcherry,Physalis crassifolia
1152,132553,6627,Insecta,Mallow Scrub-Hairstreak,Strymon istapa
1153,26691,6617,Amphibia,Couch's Spadefoot,Scaphiopus couchii
1154,67653,6607,Insecta,Large Orange Sulphur,Phoebis agarithe
1155,143274,6605,Insecta,Common Gluphisia Moth,Gluphisia septentrionis
1156,69517,6604,Insecta,Rough Harvester Ant,Pogonomyrmex rugosus
1157,122085,6601,Plantae,Cutleaf Grapefern,Sceptridium dissectum
1158,56534,6600,Fungi,red-cage fungus,Clathrus ruber
1159,28378,6599,Reptilia,Plains Garter Snake,Thamnophis radix
1160,84790,6599,Plantae,umbrella magnolia,Magnolia tripetala
1161,146945,6596,Insecta,,Chrysopa oculata
1162,60287,6594,Plantae,Foxtail Barley,Hordeum jubatum
1163,118526,6594,Plantae,Whipple's penstemon,Penstemon whippleanus
1164,58772,6589,Plantae,gray pine,Pinus sabiniana
1165,119306,6585,Plantae,Mountain Ball Cactus,Pediocactus simpsonii
1166,47518,6581,Actinopterygii,Brown Trout,Salmo trutta
1167,9419,6578,Aves,Green-tailed Towhee,Pipilo chlorurus
1168,261334,6577,Insecta,Juniper Stink Bug,Banasa euchlora
1169,56726,6567,Plantae,American wild carrot,Daucus pusillus
1170,144541,6567,Aves,Sandwich Tern,Thalasseus sandvicensis
1171,83844,6565,Arachnida,Striped Lynx Spider,Oxyopes salticus
1172,27486,6563,Amphibia,Red Salamander,Pseudotriton ruber
1173,58509,6563,Insecta,Delaware Skipper,Anatrytone logan
1174,58627,6563,Actinopterygii,Yellow Perch,Perca flavescens
1175,165115,6558,Plantae,three-lobe false mallow,Malvastrum coromandelianum
1176,78349,6555,Plantae,little-leaved palo verde,Parkinsonia microphylla
1177,5200,6553,Aves,Rough-legged Hawk,Buteo lagopus
1178,77305,6551,Plantae,Curlycup Gumweed,Grindelia squarrosa
1179,121593,6550,Plantae,great waterleaf,Hydrophyllum appendiculatum
1180,209176,6549,Insecta,Kudzu Bug,Megacopta cribraria
1181,127637,6548,Plantae,Old Man's Beard Clematis,Clematis drummondii
1182,56129,6541,Plantae,Ivy-leaved Speedwell,Veronica hederifolia
1183,469268,6537,Insecta,Scissor Grinder,Neotibicen pruinosus
1184,43132,6536,Mammalia,Snowshoe Hare,Lepus americanus
1185,205235,6530,Insecta,Green Leuconycta Moth,Leuconycta diphteroides
1186,300301,6527,Insecta,Graceful Twig Ant,Pseudomyrmex gracilis
1187,57872,6520,Plantae,Beavertail Pricklypear,Opuntia basilaris
1188,58902,6520,Plantae,Stinging Lupine,Lupinus hirsutissimus
1189,500030,6518,Fungi,False Caesar's Mushroom,Amanita parcivolvata
1190,83061,6517,Plantae,Gunnison's Mariposa Lily,Calochortus gunnisonii
1191,896124,6515,Fungi,Mustard Yellow Polypore,Fuscoporia gilva
1192,1470430,6513,Insecta,European Earwig,Forficula auricularia
1193,58637,6511,Actinopterygii,Rock Bass,Ambloplites rupestris
1194,24233,6508,Amphibia,Southern Cricket Frog,Acris gryllus
1195,146635,6486,Insecta,Short-winged Green Grasshopper,Dichromorpha viridis
1196,126305,6485,Plantae,Firebush,Hamelia patens
1197,158586,6479,Plantae,Coralberry,Ardisia crenata
